program_name,career_pathway,program_options,degree_or_certificate,department,image
"Database Management","Health, Science & Technology","Certificate","C-ACMP","Database Management","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-database_management.jpg?1577830849"
"Diagnostic Medical Imaging (Radiology & X-ray)","Health, Science & Technology","Degree; Certificate","AS; C-ACH; C-ACMP","Diagnostic Medical Imaging","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-diagnostic_medical_imaging.jpg?1577830849"
"Digital Design & Publication","Arts, Language & Communication","Degree; Certificate; Noncredit","AA; AS; C-ACH; C-COMP","Design Management; Digital Media Arts; Fashion Design","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-digital_design__publication.jpg?1577830849"
"Digital Media Arts","Arts, Language & Communication","Degree; Certificate","AA; C-ACH","Digital Media Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-digital_media_art.jpg?1577830849"
"Economics","Business, Management & Entrepreneurship","Degree; Transfer; Certificate","AA-T; C-ACH","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-economics.jpg?1577830849"
"Electrical Technology","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-ACMP; C-COMP","Electrical Technology; Electrical Technology Automation Technician; Electrical Technology CISCO Certified Network Installation Associate; Electrical Technology General Industrial Electrician; Electrical Technology High Voltage Test Technician; Electrical Technology Solar Installation Maintenance; Electrical Technology Traffic Signal Technician","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-electrical_technology.jpg?1577830849"
"Elementary Teacher Education","Society & Education","Degree; Transfer; Certificate; Noncredit","AA-T; C-ACH; C-COMPETENCY","Elementary Teacher Education","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-elementary_teacher_education.jpg?1577830849"
"Emergency Medical Technician","Health, Science & Technology","Certificate","C-ACMP","Medical Assisting Program","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/emergency_medical_technician.jpg?1577830849"
"Engineering","Health, Science & Technology","Degree","AS","Engineering","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-engineering-new.jpg?1577830849"
"Engineering Technology","Health, Science & Technology","Degree; Certificate","AS; C-ACH","Engineering Technology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-engineering-new.jpg?1577830849"
"English","Arts, Language & Communication","Degree; Transfer","AA; AA-T","English","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-english.jpg?1577830849"
"English, Creative Writing","Arts, Language & Communication","Degree","AA","English","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/creative_writing_square_tile.jpg?1630088781"
"English, Language & Literature","Arts, Language & Communication","Degree","AA","English","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/language_lit_square_tile.jpg?1630089475"
"English as a Second Language","Arts, Language & Communication","Certificate; Noncredit","C-COMPETENCY","English Second Language","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-esl.jpg?1631201109"
"Fashion","Arts, Language & Communication; Business, Management & Entrepreneurship","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Fashion Design; Fashion Merchandising","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-fashion_design.jpg?1577830849"
"Film & Film Studies","Arts, Language & Communication","Degree; Transfer; Certificate","AS-T; C-ACH","Film Production; Film Television Electronic Media","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-film.jpg?1577830849"
"Financial Literacy","Business, Management & Entrepreneurship","Certificate; Noncredit","C-COMPETENCY","Financial Literacy","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/fit_lit_tile.jpg?1646094334"
"Fire Science","Trades & Service Industry","Degree; Certificate","AS; C-ACH","Fire Science","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-fire_science.jpg?1577830849"
"Foundational Skills","Society & Education","Certificate; Noncredit","C-COMPETENCY","Foundational Skills","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/foundational_skills_tile.jpg?1659560560"
"Game Design","Arts, Language & Communication","Certificate","C-ACH","Digital Media Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/game_design_tile_0.jpg?1678301997"
"GED/HiSET Preparation","Society & Education","Certificate; Noncredit","C-COMPETENCY","Ged Hiset Preparation","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/ged_tile.jpg?1659560810"
"GED/HiSET Preparación Español","Society & Education","Certificate; Noncredit","C-COMPETENCY","Ged Hiset Preparation","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/ged_spanishtile.jpg?1659560984"
"General Business","Business, Management & Entrepreneurship","Degree; Transfer; Certificate; Noncredit","AA; AA-T; AS-T; C-ACH; C-ACMP; C-COMP","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-general_business.jpg?1577830849"
"General Education","","","","","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/ge-tile.jpg?1648673313"
"Geography","Health, Science & Technology","Degree; Transfer; Certificate","AA-T; C-ACMP","Geography","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-geography.jpg?1577830849"
